NomeEstacao,CodEstacao,StatusEstacao,MunicipioUF,Latitude,Longitude,Altitude,Operadora,Responsavel,Origem,Bacia,SubBacia,CodRio
UHE TAQUARUÇU CENTENÁRIO DO SUL,02251081,Ativo,CENTENÁRIO DO SUL-PR,-22.83170,-51.60280,514.00,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,00131 - PARANAPANEMA - Rio Paranapanema Energia S.A,Setor Elétrico,6,64,0
PCH APUCARANINHA MONTANTE 2,02351080,Ativo,APUCARANA-PR,-23.51750,-51.53030,0.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,6,64,0
BOM JARDIM MONTANTE,02450009,Ativo,TIBAGI-PR,-24.67780,-50.48440,750.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,64,0
UHE ITAIPU MANOEL RIBAS,02451057,Ativo,MANOEL RIBAS-PR,-24.51330,-51.66500,878.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,0
UHE ITAIPU SANTA MARIA,02451059,Ativo,SANTA MARIA DO OESTE-PR,-24.93330,-51.88330,550.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,0
UHE ITAIPU UBIRATÃ,02452062,Ativo,UBIRATÃ-PR,-24.55330,-52.98580,530.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,Setor Elétrico,6,64,0
CGH MARUMBI GUARATUBA,02548079,Ativo,GUARATUBA-PR,-25.84530,-48.58030,0.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,8,82,0
CGH MARUMBI ANTONINA,02548098,Ativo,ANTONINA-PR,-25.24330,-48.75220,0.00,00028 - COPEL - Copel Geração e Transmissão S.A,00028 - COPEL - Copel Geração e Transmissão S.A,Setor Elétrico,8,82,0
ENTREMAR,02549113,Ativo,PIRAQUARA-PR,-25.48920,-49.04080,900.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,65,0
UHE SALTO SANTIAGO GUARAPUAVA,02551015,Ativo,GUARAPUAVA-PR,-25.36560,-51.49560,1051.00,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,6,65,0
UHE SALTO SANTIAGO GOIOXIM,02551063,Ativo,GUARAPUAVA-PR,-25.24060,-51.92750,917.00,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,6,65,0
UHE SALTO OSÓRIO PINHÃO,02551069,Ativo,PINHÃO-PR,-25.66170,-51.66220,1070.00,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,6,65,0
UHE FUNDÃO GUARAPUAVA,02551070,Ativo,GUARAPUAVA-PR,-25.38470,-51.49390,0.00,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,6,65,0
UHE FUNDÃO PINHÃO,02551071,Ativo,PINHÃO-PR,-25.64920,-51.96250,0.00,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,6,65,0
UHE SANTA CLARA ENTRE RIOS,02551072,Ativo,GUARAPUAVA-PR,-25.54580,-51.48830,0.00,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,00289 - ELEJOR - Centrais Elétricas do Rio Jordão S.A-ELEJOR,Setor Elétrico,6,65,0
UHE SALTO OSÓRIO LARANJEIRAS DO SUL,02552009,Ativo,LARANJEIRAS DO SUL-PR,-25.39780,-52.43500,810.00,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,6,65,0
UHE SALTO SANTIAGO CHOPINZINHO PLU,02552030,Ativo,CHOPINZINHO-PR,-25.86000,-52.52690,738.00,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,6,65,0
UHE SALTO SANTIAGO FOZ DO JORDÃO,02552055,Ativo,FOZ DO JORDÃO-PR,-25.77470,-52.11390,615.00,00112 - ENGIE - Engie Brasil Energia S.A.,00112 - ENGIE - Engie Brasil Energia S.A.,Setor Elétrico,6,65,0
NOVA SANTA ROSA,23453080,Ativo,NOVA SANTA ROSA-PR,-24.46810,-53.95060,0.00,00090 - ITAIPU - Itaipu  Binacional,00090 - ITAIPU - Itaipu  Binacional,RHN,6,64,0
CGH JAGUARICATU I MONTANTE,64230200,Ativo,SENGES-PR,-24.24110,-49.48500,760.00,00262 - SENGES - Senges Papel e Celulose Ltda.,00262 - SENGES - Senges Papel e Celulose Ltda.,Setor Elétrico,6,64,64130050
CGH JAGUARICATU I RIO LAJEADO,64230230,Ativo,SENGES-PR,-24.22280,-49.48580,777.00,00262 - SENGES - Senges Papel e Celulose Ltda.,00262 - SENGES - Senges Papel e Celulose Ltda.,Setor Elétrico,6,64,64211900
CGH JAGUARICATU I BARRAMENTO,64230250,Ativo,SENGES-PR,-24.20560,-49.48560,744.00,00262 - SENGES - Senges Papel e Celulose Ltda.,00262 - SENGES - Senges Papel e Celulose Ltda.,Setor Elétrico,6,64,64130050
CGH JAGUARICATU I JUSANTE,64230300,Ativo,SENGES-PR,-24.18220,-49.49080,729.00,00262 - SENGES - Senges Papel e Celulose Ltda.,00262 - SENGES - Senges Papel e Celulose Ltda.,Setor Elétrico,6,64,64130050
CGH JAGUARICATU II BARRAMENTO,64230350,Ativo,SENGES-PR,-24.16830,-49.49140,704.00,00262 - SENGES - Senges Papel e Celulose Ltda.,00262 - SENGES - Senges Papel e Celulose Ltda.,Setor Elétrico,6,64,64130050
CGH JAGUARICATU II JUSANTE,64230400,Ativo,SENGES-PR,-24.15030,-49.48530,664.00,00262 - SENGES - Senges Papel e Celulose Ltda.,00262 - SENGES - Senges Papel e Celulose Ltda.,Setor Elétrico,6,64,64130050
PCH CACHOEIRA DO POÇO PRETO I JAGUARICATU,64230450,Ativo,SENGES-PR,-24.10920,-49.46970,581.00,00252 - MARINGÁ - Maringá S.A. Cimento e Ferro-Liga,00252 - MARINGÁ - Maringá S.A. Cimento e Ferro-Liga,Setor Elétrico,6,64,64130050
SENGES,64230500,Ativo,SENGES-PR,-24.10000,-49.46670,590.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,64,64130050
SENGES,64230500,Ativo,SENGES-PR,-24.10000,-49.46670,590.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00052 - IAT-PR - Instituto Água e Terra do Paraná,RHN,6,64,64130050
COLÔNIA BARRO PRETO,64231000,Ativo,SENGES-PR,-24.03280,-49.46140,530.00,00052 - IAT-PR - Instituto Água e Terra do Paraná,00001 - ANA - Agência Nacional de Águas ,RHN,6,64,64130000
